Original,Log with 4 places,Log with 3 places,Log with 2 places
110,110,111,107
59276971,59321447,59552748,59552748
29094611,29100852,28987825,27344055
26893343,26869351,26817096,27344055
27939706,27935646,27881369,27344055
10459025,10456446,10538167,10335081
21252635,21232448,21232448,22508823
22481503,22465089,22508823,22508823
39531411,39499041,39575935,40353607
63843478,63874211,64373289,59552748
6406927,6403531,6353885,7003166
8599515,8607456,8674710,8507535
23175900,23175523,23402116,22508823
37219059,37186765,37331760,40353607
19451802,19452284,19263935,18528637
32862770,32832353,32577808,33217905
16423411,16422798,16486833,15252230
999348,998507,1000451,1000451
17490243,17477928,17477928,18528637
57670551,57614921,57279638,59552748
101424634,101498310,100711407,106765609
7719891,7718781,7718781,8507535
4789005,4791817,4745419,4745419
52099608,52070271,51969101,49022165
52097,52059,51957,54019
39509856,39499041,39575935,40353607
248082,247891,246448,256229
110,110,111,107
23,23,23,22
76980,76976,76677,79720
3019022,3021426,3033207,3215546
1160941,1159908,1168971,1215362
589477,589291,591588,558042
16095,16103,16165,16807
979219,979265,981172,1000451
1356880,1357927,1365878,1476440
418964,419215,416775,459364
411391,411137,408744,378135
9471,9466,9559,9375
22339,22329,22504,20417
6127242,6123257,6111348,5764801
1337269,1336952,1339556,1215362
15544883,15551938,15551938,15252230
5565,5565,5544,5229
661188,660983,664853,677917
7430,7437,7422,7717
5808282,5809844,5764801,5764801
3046756,3045034,3033207,3215546
2883851,2883563,2861205,2646946
307284,307059,305271,311270
119078,119031,119961,117649
806735,806102,807672,823543
16301,16292,16165,16807
49569,49587,49974,54019
10174,10173,10134,9375
3819400,3816134,3831014,3906294
5439,5437,5437,5229
2018,2019,2015,1976
324,324,324,343
11223330,11215222,11171662,10335081
1201,1201,1192,1102
140,140,140,130
13532,13542,13568,13835
1482994,1482197,1476440,1476440
2688,2688,2698,2917
186,186,188,191
1121427,1122165,1124351,1215362
2991,2991,2974,2917
372,372,371,343
2594957,2595938,2595938,2646946
3176,3178,3153,2917
141,141,140,130
2223545,2221705,2221705,2178890
1201,1201,1192,1102
968,968,962,907
5326898,5322742,5333109,5764801
141,141,140,130
643,643,639,615
54,54,54,49
1243702,1244076,1239244,1215362
330,330,330,343
165,165,164,157
24,24,24,22
8750028,8742489,8674710,8507535
3927,3928,3905,4304
