Original,Log with 4 places,Log with 3 places,Log with 2 places
0.000778513,0.000778513,0.000778816,0.000764289
0.00155703,0.00155703,0.00155763,0.00158519
0.00116777,0.00116777,0.00116822,0.00118889
0.00155703,0.00155703,0.00155763,0.00158519
0.000973141,0.000973141,0.00097352,0.000990744
0.000973141,0.000973141,0.00097352,0.000955361
0.000194628,0.000194628,0.000194704,0.000191072
0.000778513,0.000778513,0.000778816,0.000764289
0.00116777,0.00116777,0.00116822,0.00114643
0.000778513,0.000778513,0.000778816,0.000764289
0.000583885,0.000583885,0.000584112,0.000573216
0.00116777,0.00116777,0.00116822,0.00114643
0.000583885,0.000583885,0.000584112,0.000573216
0.00194628,0.00194628,0.00194704,0.00191072
0.000389257,0.000389257,0.000389408,0.000382144
0.0013624,0.0013624,0.00136293,0.0013375
0.00116777,0.00116777,0.00116822,0.00114643
0.000973141,0.000973141,0.00097352,0.000955361
0.000778513,0.000778513,0.000778816,0.000764289
0.000973141,0.000973141,0.00097352,0.000955361
0.000583885,0.000583885,0.000584112,0.000573216
0.000583885,0.000583885,0.000584112,0.000589139
0.00116777,0.00116777,0.00116822,0.00117828
0.0013624,0.0013624,0.00136293,0.00137466
0.000973141,0.000973141,0.00097352,0.000981898
0.00116777,0.00116777,0.00116822,0.00117828
0.000583885,0.000583885,0.000584112,0.000589139
0.000194628,0.000194628,0.000194704,0.00019638
0.000973141,0.000973141,0.00097352,0.000981898
0.000583885,0.000583885,0.000584112,0.000573216
0.000583885,0.000583885,0.000584112,0.000573216
0.000778513,0.000778513,0.000778816,0.000764289
0.00194628,0.00194628,0.00194704,0.00191072
0.000194628,0.000194628,0.000194704,0.000195053
0.0013624,0.0013624,0.00136293,0.00136537
0.000389257,0.000389257,0.000389408,0.000390106
0.000194628,0.000194628,0.000194704,0.000195053
0.0013624,0.0013624,0.00136293,0.00136537
0.000389257,0.000389257,0.000389408,0.000390106
0.000973141,0.000973141,0.00097352,0.000975264
0.000194628,0.000194628,0.000194704,0.000195053
0.000973141,0.000973141,0.00097352,0.000975264
0.00155703,0.00155703,0.00155763,0.00156042
0.00175165,0.00175165,0.00175234,0.00175548
0.0013624,0.0013624,0.00136293,0.0013375
0.000973141,0.000973141,0.00097352,0.000955361
0.00155703,0.00155703,0.00155763,0.00152858
0.0013624,0.0013624,0.00136293,0.0013375
0.00116777,0.00116777,0.00116822,0.00119854
0.000583885,0.000583885,0.000584112,0.000599272
0.000973141,0.000973141,0.00097352,0.000998786
0.00116777,0.00116777,0.00116822,0.00119854
0.000389257,0.000389257,0.000389408,0.000399514
0.000778513,0.000778513,0.000778816,0.000764289
0.0013624,0.0013624,0.00136293,0.0013375
0.00116777,0.00116777,0.00116822,0.00114643
0.0013624,0.0013624,0.00136293,0.0013375
0.00116777,0.00116777,0.00116822,0.00114643
0.000583885,0.000583885,0.000584112,0.000573216
0.00155703,0.00155703,0.00155763,0.00152858
0.00116777,0.00116777,0.00116822,0.00114643
0.000778513,0.000778513,0.000778816,0.000764289
0.00116777,0.00116777,0.00116822,0.00114643
0.00155703,0.00155703,0.0015621,0.00140889
0.00214091,0.00214091,0.00214788,0.00193723
0.000778513,0.000778513,0.000781048,0.000743581
0.000583885,0.000583885,0.000585786,0.000557686
0.00116777,0.00116777,0.00117157,0.00111537
0.000778513,0.000778513,0.000781048,0.000743581
0.00175165,0.00175165,0.00175736,0.00167306
0.00175165,0.00175165,0.00175736,0.00167306
0.000583885,0.000583885,0.000585786,0.000557686
0.00116777,0.00116777,0.00117157,0.00111537
0.00116777,0.00116777,0.00117157,0.00111537
0.00116777,0.00116777,0.00117157,0.00111537
0.0013624,0.0013624,0.00136683,0.00130127
0.000973141,0.000973141,0.00097631,0.000929477
0.00116777,0.00116777,0.00117157,0.00111537
0.000973141,0.000973141,0.00097631,0.000952563
0.00175165,0.00175165,0.00175736,0.00171461
0.000973141,0.000973141,0.00097631,0.000952563
0.000973141,0.000973141,0.00097631,0.000952563
0.00155703,0.00155703,0.0015621,0.0015241
0.000778513,0.000778513,0.000781048,0.000762051
0.000973141,0.000973141,0.00097631,0.000952563
0.0013624,0.0013624,0.00136683,0.00133359
0.000389257,0.000389257,0.000390524,0.000381025
0.00155703,0.00155703,0.0015621,0.0015241
0.000973141,0.000973141,0.00097631,0.000952563
0.00116777,0.00116777,0.00117157,0.00114308
0.000778513,0.000778513,0.000781048,0.000762051
0.000389257,0.000389257,0.000390524,0.000375876
0.000778513,0.000778513,0.000781048,0.000728972
0.000778513,0.000778513,0.000781048,0.000728972
0.000583885,0.000583885,0.000585786,0.000546729
0.000389257,0.000389257,0.000390524,0.000364486
0.00155703,0.00155703,0.0015621,0.00145794
0.000778513,0.000778513,0.000781048,0.000728972
0.00155703,0.00155703,0.0015621,0.00145794
0.0013624,0.0013624,0.00136683,0.00131557
0.000973141,0.000973141,0.00097631,0.000939691
0.000973141,0.000973141,0.00097631,0.000939691
0.000583885,0.000583885,0.000585786,0.000563814
0.000778513,0.000778513,0.000781048,0.000751753
0.000389257,0.000389257,0.000390524,0.000375876
0.000389257,0.000389257,0.000390524,0.000375876
0.000973141,0.000973141,0.00097631,0.000925234
0.00194628,0.00194628,0.00195262,0.00185047
0.000194628,0.000194628,0.000195262,0.000185047
0.00175165,0.00175165,0.00175736,0.00166542
0.000973141,0.000973141,0.00097631,0.000925234
0.00116777,0.00116777,0.00117157,0.00111028
0.000973141,0.000973141,0.00097631,0.000925234
0.00155703,0.00155703,0.0015621,0.00148037
0.000778513,0.000778513,0.000781048,0.000740187
0.0013624,0.0013624,0.00136683,0.00129533
0.000973141,0.000973141,0.00097631,0.000925234
0.000583885,0.000583885,0.000585786,0.000587807
0.000778513,0.000778513,0.000781048,0.000783742
0.00116777,0.00116777,0.00117157,0.00117561
0.00194628,0.00194628,0.00195262,0.00195936
0.0013624,0.0013624,0.00136683,0.00137155
0.000973141,0.000973141,0.00097631,0.000979678
0.000973141,0.000973141,0.00097631,0.000979678
0.0013624,0.0013624,0.00136683,0.00137155
0.000389257,0.000389257,0.000390524,0.000375876
0.00116777,0.00116777,0.00117157,0.00112763
0.000973141,0.000973141,0.000976294,0.00100128
0.00175165,0.00175165,0.00175733,0.0018023
0.000583885,0.000583885,0.000585776,0.000600766
0.00116777,0.00116777,0.00117155,0.00120153
0.000583885,0.000583885,0.000585776,0.000600766
0.00175165,0.00175165,0.00175733,0.0018023
0.000778513,0.000778513,0.000781035,0.000801021
0.00116777,0.00116777,0.00117155,0.00120153
0.000973141,0.000973141,0.000976294,0.00100128
0.000973141,0.000973141,0.000976294,0.00100128
0.00233554,0.00233554,0.00234311,0.00240306
0.000778513,0.000778513,0.000781035,0.000801021
0.0013624,0.0013624,0.00136681,0.00140179
0.000973141,0.000973141,0.000976294,0.00100128
0.00116777,0.00116777,0.00117155,0.00118723
0.000583885,0.000583885,0.000585776,0.000593614
0.000973141,0.000973141,0.000976294,0.000989356
0.000778513,0.000778513,0.000781035,0.000812043
0.000778513,0.000778513,0.000781035,0.000812043
0.000389257,0.000389257,0.000390518,0.000406022
0.000973141,0.000973141,0.000976294,0.00101505
0.00116777,0.00116777,0.00117155,0.00121806
0.000778513,0.000778513,0.000781035,0.000812043
0.000778513,0.000778513,0.000781035,0.000812043
0.00175165,0.00175165,0.00175733,0.0018271
0.000778513,0.000778513,0.000781035,0.000812043
0.000973141,0.000973141,0.000976294,0.00101505
0.000194628,0.000194628,0.000195259,0.000203011
0.00116777,0.00116777,0.00117155,0.00121806
0.00116777,0.00116777,0.00117155,0.00121806
0.000583885,0.000583885,0.000585776,0.000609032
0.00116777,0.00116777,0.00117155,0.00121806
0.00155703,0.00155703,0.00156207,0.00162409
0.000778513,0.000778513,0.000781035,0.000791485
0.000973141,0.000973141,0.000976294,0.000989356
0.000973141,0.000973141,0.000976294,0.000989356
0.00155703,0.00155703,0.00156207,0.00165492
0.000583885,0.000583885,0.000585776,0.000620596
0.000778513,0.000778513,0.000781035,0.000827462
0.000778513,0.000778513,0.000781035,0.000827462
0.000583885,0.000583885,0.000585776,0.000620596
0.00194628,0.00194628,0.00195259,0.00197871
0.00116777,0.00116777,0.00117155,0.00118723
0.0013624,0.0013624,0.00136681,0.0013851
0.0013624,0.0013624,0.00136681,0.0013851
0.000778513,0.000778513,0.000781035,0.000791485
0.000778513,0.000778513,0.000781035,0.000791485
0.000778513,0.000778513,0.000781035,0.000791485
0.000778513,0.000778513,0.000781035,0.000791485
0.000973141,0.000973141,0.000976294,0.000989356
0.0013624,0.0013624,0.00136681,0.0013851
0.0013624,0.0013624,0.00136681,0.00134313
0.000778513,0.000778513,0.000781035,0.000767501
0.0013624,0.0013624,0.00136681,0.00134313
0.00175165,0.00175165,0.00175733,0.00172688
0.00116777,0.00116777,0.00117155,0.00115125
0.000973141,0.000973141,0.000976294,0.000989356
0.00155703,0.00155703,0.00156207,0.00158297
0.000583885,0.000583885,0.000585776,0.000593614
0.000973141,0.000973141,0.000976294,0.000989356
0.00155703,0.00155703,0.00156207,0.00158297
0.0013624,0.0013624,0.00136681,0.0013851
0.000973141,0.000973141,0.000976294,0.000989356
0.000778513,0.000778513,0.000781035,0.000791485
0.000389257,0.000389257,0.000390518,0.000395743
0.000583885,0.000583885,0.000585776,0.000593614
0.000389257,0.000389257,0.000389408,0.000367331
0.0013624,0.0013624,0.00136293,0.00128566
0.000973141,0.000973141,0.00097352,0.000918326
