Original,Log with 4 places,Log with 3 places,Log with 2 places
1.25232E-07,1.25184E-07,1.2544E-07,1.17519E-07
3.13081E-07,3.1296E-07,3.13599E-07,2.93798E-07
6.26162E-08,6.25919E-08,6.27198E-08,5.87596E-08
8.64103E-06,8.63769E-06,8.65534E-06,8.63766E-06
6.26162E-08,6.25919E-08,6.22932E-08,6.19574E-08
6.26162E-08,6.25919E-08,6.22932E-08,6.19574E-08
6.26162E-08,6.25919E-08,6.31407E-08,6.28004E-08
6.26162E-08,6.25919E-08,6.31407E-08,6.28004E-08
2.37941E-06,2.37849E-06,2.39935E-06,2.57481E-06
1.25232E-07,1.25184E-07,1.26281E-07,1.25601E-07
6.26162E-08,6.25919E-08,6.31407E-08,6.28004E-08
4.07005E-06,4.06848E-06,4.10414E-06,4.14482E-06
6.26162E-08,6.25919E-08,6.31407E-08,6.28004E-08
6.26162E-08,6.25667E-08,6.3011E-08,6.94931E-08
4.38313E-07,4.37967E-07,4.41077E-07,4.86452E-07
6.26162E-08,6.25667E-08,6.3011E-08,6.94931E-08
1.87848E-07,1.877E-07,1.89033E-07,2.08479E-07
3.13081E-07,3.12834E-07,3.15055E-07,3.47466E-07
6.26162E-08,6.25667E-08,6.3011E-08,6.1882E-08
1.87848E-07,1.877E-07,1.89033E-07,1.85646E-07
4.13267E-06,4.1294E-06,4.15873E-06,4.08421E-06
7.07563E-06,7.07004E-06,7.12025E-06,7.67542E-06
6.26162E-08,6.25667E-08,6.3011E-08,7.24096E-08
4.44575E-06,4.44224E-06,4.47378E-06,5.41156E-06
1.25232E-07,1.25133E-07,1.26022E-07,1.63987E-07
6.26162E-08,6.25667E-08,6.3011E-08,6.56324E-08
2.50465E-07,2.50267E-07,2.52044E-07,2.6253E-07
6.26162E-08,6.25667E-08,6.3011E-08,6.56324E-08
2.50465E-07,2.50267E-07,2.52044E-07,2.6253E-07
1.25232E-07,1.25133E-07,1.26022E-07,1.49314E-07
5.07191E-06,5.0679E-06,5.10389E-06,5.74858E-06
6.26162E-08,6.25667E-08,6.3011E-08,7.46568E-08
6.26162E-08,6.25667E-08,6.3011E-08,6.56324E-08
2.50465E-07,2.50267E-07,2.52044E-07,2.6253E-07
1.25232E-07,1.25242E-07,1.25928E-07,1.31172E-07
6.26162E-08,6.26209E-08,6.29642E-08,6.5586E-08
3.13081E-07,3.13105E-07,3.14821E-07,3.2793E-07
6.26162E-08,6.26209E-08,6.29642E-08,6.26049E-08
6.26162E-08,6.26209E-08,6.29642E-08,6.26049E-08
6.26162E-08,6.26209E-08,6.29642E-08,5.93099E-08
1.06447E-06,1.06456E-06,1.07039E-06,1.06758E-06
6.26162E-08,6.26209E-08,6.29642E-08,6.26049E-08
6.26162E-08,6.26209E-08,6.29642E-08,6.26049E-08
0.00252894,0.00252888,0.00254275,0.00269159
6.26162E-08,6.25667E-08,6.3011E-08,6.1882E-08
6.26162E-08,6.25667E-08,6.3011E-08,6.1882E-08
6.26162E-08,6.25667E-08,6.3011E-08,6.09584E-08
4.13267E-06,4.1294E-06,4.15873E-06,4.02325E-06
1.25232E-07,1.25133E-07,1.26022E-07,1.23764E-07
2.50465E-07,2.50267E-07,2.54964E-07,2.61408E-07
8.10253E-05,8.09613E-05,8.2162E-05,9.1362E-05
1.25232E-07,1.25133E-07,1.27482E-07,1.30704E-07
1.25232E-07,1.25133E-07,1.26022E-07,1.31265E-07
1.62176E-05,1.62065E-05,1.603E-05,1.8787E-05
6.26162E-08,6.25735E-08,6.21319E-08,6.70964E-08
1.87848E-07,1.8772E-07,1.86396E-07,2.01289E-07
6.26162E-08,6.26166E-08,6.25749E-08,6.75018E-08
0.00333688,0.00333508,0.00332216,0.00382202
1.25232E-07,1.25228E-07,1.25145E-07,1.34999E-07
6.26162E-08,6.26166E-08,6.25749E-08,6.75018E-08
6.26162E-08,6.26166E-08,6.25749E-08,6.75018E-08
1.16466E-05,1.16467E-05,1.16023E-05,1.15087E-05
2.50465E-07,2.50466E-07,2.48178E-07,2.67644E-07
1.74073E-05,1.74074E-05,1.73725E-05,1.87351E-05
6.26162E-08,6.26166E-08,6.20446E-08,6.6911E-08
4.38313E-07,4.38316E-07,4.38024E-07,4.72513E-07
6.26162E-08,6.26166E-08,6.25749E-08,6.75018E-08
1.25232E-07,1.25147E-07,1.24264E-07,1.3611E-07
3.13081E-07,3.12867E-07,3.10659E-07,3.40275E-07
1.87848E-07,1.8772E-07,1.86396E-07,2.04165E-07
1.87848E-07,1.8772E-07,1.86396E-07,2.04165E-07
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
1.25232E-07,1.25147E-07,1.24264E-07,1.3611E-07
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
1.25232E-07,1.25147E-07,1.24264E-07,1.3611E-07
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
5.19714E-06,5.1936E-06,5.21908E-06,5.24023E-06
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
3.75697E-07,3.75441E-07,3.72791E-07,4.537E-07
6.26162E-08,6.25735E-08,6.21319E-08,7.56166E-08
1.25232E-07,1.25147E-07,1.24264E-07,1.51233E-07
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
6.26162E-08,6.25735E-08,6.21319E-08,6.50961E-08
6.26162E-08,6.25735E-08,6.21319E-08,6.50961E-08
6.26162E-08,6.25735E-08,6.21319E-08,6.50961E-08
6.26162E-08,6.25735E-08,6.21319E-08,6.41245E-08
4.19528E-06,4.19242E-06,4.16284E-06,4.23221E-06
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
6.26162E-08,6.25735E-08,6.21319E-08,6.8055E-08
6.26162E-08,6.26519E-08,6.23108E-08,5.97935E-08
6.26162E-08,6.26519E-08,6.23108E-08,5.97935E-08
1.87848E-07,1.87956E-07,1.86933E-07,1.79381E-07
2.50465E-07,2.50607E-07,2.49243E-07,2.39174E-07
1.87848E-07,1.87956E-07,1.86933E-07,1.79381E-07
0.00055672,0.000556913,0.000553012,0.000627347
6.26162E-08,6.26027E-08,6.21641E-08,7.64312E-08
8.76626E-07,8.76437E-07,8.70297E-07,9.93605E-07
3.75697E-07,3.75616E-07,3.72985E-07,4.58587E-07
2.25418E-06,2.25547E-06,2.24382E-06,2.35184E-06
5.44761E-06,5.45071E-06,5.36023E-06,6.29463E-06
1.60297E-05,1.60389E-05,1.59499E-05,1.64629E-05
6.26162E-08,6.26519E-08,6.18215E-08,6.91717E-08
2.50465E-07,2.50607E-07,2.49243E-07,2.60917E-07
6.26162E-08,6.26519E-08,6.23108E-08,6.90663E-08
6.26162E-08,6.26519E-08,6.23108E-08,6.90663E-08
9.39242E-07,9.39778E-07,9.34663E-07,1.03599E-06
6.26162E-08,6.26519E-08,6.23108E-08,6.52293E-08
6.26162E-08,6.26519E-08,6.23108E-08,6.52293E-08
1.25232E-07,1.25304E-07,1.24622E-07,1.30459E-07
6.26162E-08,6.26519E-08,6.23108E-08,6.52293E-08
1.87848E-07,1.87956E-07,1.86933E-07,1.95688E-07
1.87848E-07,1.87956E-07,1.86933E-07,1.83457E-07
6.88778E-07,6.8917E-07,6.85419E-07,6.72677E-07
1.25232E-07,1.25304E-07,1.24622E-07,1.22305E-07
2.3168E-06,2.31812E-06,2.3055E-06,2.52582E-06
1.25232E-07,1.25304E-07,1.24622E-07,1.48578E-07
6.26162E-08,6.26519E-08,6.23108E-08,6.52293E-08
6.26162E-08,6.26519E-08,6.23108E-08,6.52293E-08
6.26162E-08,6.26519E-08,6.23108E-08,6.52293E-08
8.1401E-07,8.14474E-07,8.10041E-07,8.47981E-07
6.26162E-08,6.25919E-08,6.26512E-08,6.86054E-08
6.26162E-08,6.25919E-08,6.26512E-08,6.86054E-08
6.26162E-07,6.25919E-07,6.26512E-07,6.86054E-07
6.26162E-08,6.25919E-08,6.26512E-08,6.86054E-08
6.26162E-08,6.25919E-08,6.26512E-08,6.86054E-08
6.26162E-08,6.25919E-08,6.26512E-08,6.86054E-08
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
1.87848E-07,1.87901E-07,1.85957E-07,2.03487E-07
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
9.27971E-05,9.27606E-05,9.23586E-05,9.48251E-05
1.25232E-07,1.25268E-07,1.23971E-07,1.35658E-07
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
1.25232E-07,1.25268E-07,1.23971E-07,1.35658E-07
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
6.26162E-08,6.26338E-08,6.19856E-08,6.78291E-08
1.25232E-07,1.25233E-07,1.24948E-07,1.2704E-07
6.26162E-08,6.26165E-08,6.24739E-08,6.35199E-08
6.26162E-08,6.26165E-08,6.24739E-08,6.35199E-08
